Assembly_Acc,core,unique(merged$organism_id)
GCA_029338575.1,029338575.1,GCF_029338575.1
GCA_029490015.1,029490015.1,GCF_029490015.1
GCA_029633915.1,029633915.1,GCF_029633915.1
GCA_900083515.1,900083515.1,GCF_900083515.1
GCA_900095295.1,900095295.1,GCF_900095295.1
GCA_900198835.1,900198835.1,GCF_900198835.1
GCA_900248165.1,900248165.1,GCF_900248165.1
GCA_902383905.1,902383905.1,GCF_902383905.1
GCA_902827225.1,902827225.1,GCF_902827225.1
GCA_904067545.1,904067545.1,GCF_904067545.1
GCA_946463545.1,946463545.1,GCF_946463545.1
